[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                                                                                                         
{'loss': 4.2311, 'grad_norm': 138.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 4.4667, 'grad_norm': 157.0, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.0}
{'loss': 4.6352, 'grad_norm': 155.0, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.0}
{'loss': 3.9249, 'grad_norm': 132.0, 'learning_rate': 1.2e-05, 'epoch': 0.0}
{'loss': 3.3641, 'grad_norm': 129.0, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.0}
{'loss': 2.3681, 'grad_norm': 138.0, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 1.6205, 'grad_norm': 77.0, 'learning_rate': 1.9996797437950362e-05, 'epoch': 0.0}
{'loss': 1.1921, 'grad_norm': 60.25, 'learning_rate': 1.9993594875900723e-05, 'epoch': 0.0}
{'loss': 0.8744, 'grad_norm': 45.0, 'learning_rate': 1.9990392313851083e-05, 'epoch': 0.0}
{'loss': 0.6642, 'grad_norm': 32.75, 'learning_rate': 1.9987189751801444e-05, 'epoch': 0.0}
{'loss': 0.5043, 'grad_norm': 28.875, 'learning_rate': 1.9983987189751804e-05, 'epoch': 0.0}
{'loss': 0.3687, 'grad_norm': 19.75, 'learning_rate': 1.9980784627702164e-05, 'epoch': 0.0}
{'loss': 0.34, 'grad_norm': 13.25, 'learning_rate': 1.997758206565252e-05, 'epoch': 0.0}
{'loss': 0.2887, 'grad_norm': 13.625, 'learning_rate': 1.9974379503602882e-05, 'epoch': 0.0}
{'loss': 0.302, 'grad_norm': 17.125, 'learning_rate': 1.9971176941553246e-05, 'epoch': 0.0}
{'loss': 0.3598, 'grad_norm': 30.625, 'learning_rate': 1.9967974379503606e-05, 'epoch': 0.0}
{'loss': 0.3694, 'grad_norm': 18.375, 'learning_rate': 1.9964771817453963e-05, 'epoch': 0.0}
{'loss': 0.3164, 'grad_norm': 23.625, 'learning_rate': 1.9961569255404324e-05, 'epoch': 0.0}
{'loss': 0.2692, 'grad_norm': 20.625, 'learning_rate': 1.9958366693354684e-05, 'epoch': 0.0}
{'loss': 0.2777, 'grad_norm': 22.375, 'learning_rate': 1.9955164131305045e-05, 'epoch': 0.0}
{'loss': 0.3091, 'grad_norm': 13.875, 'learning_rate': 1.9951961569255405e-05, 'epoch': 0.0}
{'loss': 0.2931, 'grad_norm': 18.75, 'learning_rate': 1.9948759007205766e-05, 'epoch': 0.0}
{'loss': 0.2846, 'grad_norm': 23.875, 'learning_rate': 1.9945556445156126e-05, 'epoch': 0.0}
{'loss': 0.291, 'grad_norm': 13.0625, 'learning_rate': 1.9942353883106487e-05, 'epoch': 0.0}
{'loss': 0.2933, 'grad_norm': 14.4375, 'learning_rate': 1.9939151321056847e-05, 'epoch': 0.0}
{'loss': 0.2742, 'grad_norm': 30.875, 'learning_rate': 1.9935948759007208e-05, 'epoch': 0.0}
{'loss': 0.3143, 'grad_norm': 27.875, 'learning_rate': 1.9932746196957568e-05, 'epoch': 0.0}
{'loss': 0.3183, 'grad_norm': 14.5625, 'learning_rate': 1.992954363490793e-05, 'epoch': 0.0}
{'loss': 0.2843, 'grad_norm': 15.0625, 'learning_rate': 1.992634107285829e-05, 'epoch': 0.0}
{'loss': 0.2841, 'grad_norm': 15.0, 'learning_rate': 1.992313851080865e-05, 'epoch': 0.0}
{'loss': 0.2538, 'grad_norm': 12.75, 'learning_rate': 1.9919935948759007e-05, 'epoch': 0.0}
{'loss': 0.275, 'grad_norm': 18.625, 'learning_rate': 1.9916733386709367e-05, 'epoch': 0.01}
