[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                                                                                                         
{'loss': 4.4082, 'grad_norm': 141.0, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 4.3819, 'grad_norm': 140.0, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.02}
{'loss': 4.254, 'grad_norm': 138.0, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.03}
{'loss': 3.7953, 'grad_norm': 127.5, 'learning_rate': 1.2e-05, 'epoch': 0.04}
{'loss': 3.2788, 'grad_norm': 128.0, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.05}
{'loss': 2.1697, 'grad_norm': 121.5, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 1.5026, 'grad_norm': 67.0, 'learning_rate': 1.978494623655914e-05, 'epoch': 0.07}
{'loss': 1.0454, 'grad_norm': 52.75, 'learning_rate': 1.956989247311828e-05, 'epoch': 0.08}
{'loss': 0.7355, 'grad_norm': 35.5, 'learning_rate': 1.935483870967742e-05, 'epoch': 0.09}
{'loss': 0.5515, 'grad_norm': 24.375, 'learning_rate': 1.913978494623656e-05, 'epoch': 0.1}
{'loss': 0.4236, 'grad_norm': 15.75, 'learning_rate': 1.89247311827957e-05, 'epoch': 0.11}
{'loss': 0.3523, 'grad_norm': 8.5, 'learning_rate': 1.870967741935484e-05, 'epoch': 0.12}
{'loss': 0.3123, 'grad_norm': 4.1875, 'learning_rate': 1.849462365591398e-05, 'epoch': 0.13}
{'loss': 0.3036, 'grad_norm': 4.28125, 'learning_rate': 1.827956989247312e-05, 'epoch': 0.14}
{'loss': 0.3001, 'grad_norm': 4.46875, 'learning_rate': 1.806451612903226e-05, 'epoch': 0.15}
{'loss': 0.2902, 'grad_norm': 3.5625, 'learning_rate': 1.78494623655914e-05, 'epoch': 0.16}
{'loss': 0.2958, 'grad_norm': 4.28125, 'learning_rate': 1.763440860215054e-05, 'epoch': 0.17}
{'loss': 0.2916, 'grad_norm': 2.625, 'learning_rate': 1.741935483870968e-05, 'epoch': 0.18}
{'loss': 0.2894, 'grad_norm': 1.65625, 'learning_rate': 1.7204301075268818e-05, 'epoch': 0.19}
{'loss': 0.2929, 'grad_norm': 3.765625, 'learning_rate': 1.6989247311827958e-05, 'epoch': 0.2}
{'loss': 0.2935, 'grad_norm': 2.3125, 'learning_rate': 1.6774193548387098e-05, 'epoch': 0.21}
